src_ip,dst_ip,src_port,dst_port,protocol,bytes,attack_type
149.154.167.41,192.168.1.221,443,53907,TCP,183,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53899,TCP,183,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53899,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53911,TCP,163,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53900,TCP,227,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53905,TCP,155,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53909,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53897,443,TCP,383,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53924,80,TCP,278,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53925,80,TCP,326,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53910,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53900,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53905,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53906,TCP,147,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53909,TCP,235,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53909,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53927,80,TCP,254,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53910,TCP,151,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53926,80,TCP,330,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53910,443,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,53904,TCP,231,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53916,80,TCP,326,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53923,80,TCP,206,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53918,80,TCP,318,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53922,80,TCP,342,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53901,443,TCP,175,DDOS_OR_BRUTE_FORCE
